id;city_code;name;state_id
778;52835;SAN ANDRÉS DE TUMACO;17
779;52838;TÚQUERRES;17
780;52885;YACUANQUER;17
781;54001;SAN JOSÉ DE CÚCUTA;18
782;54003;ÁBREGO;18
783;54051;ARBOLEDAS;18
784;54099;BOCHALEMA;18
785;54109;BUCARASICA;18
786;54125;CÁCOTA;18
787;54128;CÁCHIRA;18
788;54172;CHINÁCOTA;18
789;54174;CHITAGÁ;18
790;54206;CONVENCIÓN;18
791;54223;CUCUTILLA;18
792;54239;DURANIA;18
793;54245;EL CARMEN;18
794;54250;EL TARRA;18
795;54261;EL ZULIA;18
796;54313;GRAMALOTE;18
797;54344;HACARÍ;18
798;54347;HERRÁN;18
799;54377;LABATECA;18
800;54385;LA ESPERANZA;18
801;54398;LA PLAYA;18
802;54405;LOS PATIOS;18
803;54418;LOURDES;18
804;54480;MUTISCUA;18
805;54498;OCAÑA;18
806;54518;PAMPLONA;18
807;54520;PAMPLONITA;18
808;54553;PUERTO SANTANDER;18
809;54599;RAGONVALIA;18
810;54660;SALAZAR;18
811;54670;SAN CALIXTO;18
812;54673;SAN CAYETANO;18
813;54680;SANTIAGO;18
814;54720;SARDINATA;18
815;54743;SILOS;18
816;54800;TEORAMA;18
817;54810;TIBÚ;18
818;54820;TOLEDO;18
819;54871;VILLA CARO;18
820;54874;VILLA DEL ROSARIO;18
821;63001;ARMENIA;19
822;63111;BUENAVISTA;19
823;63130;CALARCÁ;19
824;63190;CIRCASIA;19
825;63212;CÓRDOBA;19
826;63272;FILANDIA;19
827;63302;GÉNOVA;19
828;63401;LA TEBAIDA;19
829;63470;MONTENEGRO;19
830;63548;PIJAO;19
831;63594;QUIMBAYA;19
832;63690;SALENTO;19
833;66001;PEREIRA;20
834;66045;APÍA;20
835;66075;BALBOA;20
836;66088;BELÉN DE UMBRÍA;20
837;66170;DOSQUEBRADAS;20
838;66318;GUÁTICA;20
839;66383;LA CELIA;20
840;66400;LA VIRGINIA;20
841;66440;MARSELLA;20
842;66456;MISTRATÓ;20
843;66572;PUEBLO RICO;20
844;66594;QUINCHÍA;20
845;66682;SANTA ROSA DE CABAL;20
846;66687;SANTUARIO;20
847;68001;BUCARAMANGA;21
848;68013;AGUADA;21
849;68020;ALBANIA;21
850;68051;ARATOCA;21
851;68077;BARBOSA;21
852;68079;BARICHARA;21
853;68081;BARRANCABERMEJA;21
854;68092;BETULIA;21
855;68101;BOLÍVAR;21
856;68121;CABRERA;21
857;68132;CALIFORNIA;21
858;68147;CAPITANEJO;21
859;68152;CARCASÍ;21
860;68160;CEPITÁ;21
861;68162;CERRITO;21
862;68167;CHARALÁ;21
863;68169;CHARTA;21
864;68176;CHIMA;21
865;68179;CHIPATÁ;21
866;68190;CIMITARRA;21
867;68207;CONCEPCIÓN;21
868;68209;CONFINES;21
869;68211;CONTRATACIÓN;21
870;68217;COROMORO;21
871;68229;CURITÍ;21
872;68235;EL CARMEN DE CHUCURÍ;21
873;68245;EL GUACAMAYO;21
874;68250;EL PEÑÓN;21
875;68255;EL PLAYÓN;21
876;68264;ENCINO;21
877;68266;ENCISO;21
878;68271;FLORIÁN;21
879;68276;FLORIDABLANCA;21
880;68296;GALÁN;21
881;68298;GÁMBITA;21
882;68307;GIRÓN;21
883;68318;GUACA;21
884;68320;GUADALUPE;21
885;68322;GUAPOTÁ;21
886;68324;GUAVATÁ;21
887;68327;GÜEPSA;21
888;68344;HATO;21
889;68368;JESÚS MARÍA;21
890;68370;JORDÁN;21
891;68377;LA BELLEZA;21
892;68385;LANDÁZURI;21
893;68397;LA PAZ;21
894;68406;LEBRIJA;21
895;68418;LOS SANTOS;21
896;68425;MACARAVITA;21
897;68432;MÁLAGA;21
898;68444;MATANZA;21
899;68464;MOGOTES;21
900;68468;MOLAGAVITA;21
901;68498;OCAMONTE;21
902;68500;OIBA;21
903;68502;ONZAGA;21
904;68522;PALMAR;21
905;68524;PALMAS DEL SOCORRO;21
906;68533;PÁRAMO;21
907;68547;PIEDECUESTA;21
908;68549;PINCHOTE;21
909;68572;PUENTE NACIONAL;21
910;68573;PUERTO PARRA;21
911;68575;PUERTO WILCHES;21
912;68615;RIONEGRO;21
913;68655;SABANA DE TORRES;21
914;68669;SAN ANDRÉS;21
915;68673;SAN BENITO;21
916;68679;SAN GIL;21
917;68682;SAN JOAQUÍN;21
918;68684;SAN JOSÉ DE MIRANDA;21
919;68686;SAN MIGUEL;21
920;68689;SAN VICENTE DE CHUCURÍ;21
921;68705;SANTA BÁRBARA;21
922;68720;SANTA HELENA DEL OPÓN;21
923;68745;SIMACOTA;21
924;68755;SOCORRO;21
925;68770;SUAITA;21
926;68773;SUCRE;21
927;68780;SURATÁ;21
928;68820;TONA;21
929;68855;VALLE DE SAN JOSÉ;21
930;68861;VÉLEZ;21
931;68867;VETAS;21
932;68872;VILLANUEVA;21
